,job_title,company,description
0, (EUC) Technical Business Analyst , Pivotal Technologies Inc ,"Hi, I am Gurutwa Roy, recruiting for Technova Systems Inc. I hope you dont mind the outreach. Our company is always looking to grow their team with talented people and achieve more incredible things together! Technova Systems Inc. is currently looking for a talented [Technical Business Analyst EUC] like you to join their team. We would love to share more about this role and learn a few things about you. If youre interested, it would be great if we could get in touch. Please find the Job Descript"
1, (Remote) Data Governance Specialist , Vaco Technology ,"Vaco is searching for a friendly and highly analytical Data Governance Specialist to join the team. In this role, you will conduct compliance reviews for resources created by users, approve users request for access to internal data sources, answer users queries and resolve issues via appropriate channels, and maintain knowledge of data policies and workflows.  An excellent Data Governance Specialist will demonstrate exemplary time management skills and be passionate about finding a user-centric Vaco is searching for a friendly and highly analytical Data Governance Specialist to join the team. In this role, you will conduct compliance reviews for resources created by users, approve users request for access to internal data sources, answer users queries and resolve issues via appropriate channels, and maintain knowledge of data policies and workflows.  An excellent Data Governance Specialist will demonstrate exemplary time management skills and be passionate about finding a user-centric Vaco is searching for a friendly and highly analytical Data Governance Specialist to join the team. In this role, you will conduct compliance reviews for resources created by users, approve users request for access to internal data sources, answer users queries and resolve issues via appropriate channels, and maintain knowledge of data policies and workflows.  An excellent Data Governance Specialist will demonstrate exemplary time management skills and be passionate about finding a user-centric Vaco is searching for a friendly and highly analytical Data Governance Specialist to join the team. In this role, you will conduct compliance reviews for resources created by users, approve users request for access to internal data sources, answer users queries and resolve issues via appropriate channels, and maintain knowledge of data policies and workflows.  An excellent Data Governance Specialist will demonstrate exemplary time management skills and be passionate about finding a user-centric "
2, .NET Developer , Prominds Business Consulting Inc ,".NET Developer Remote Long term contract Must-have skills: 6+ years with .NET (C#, ) ; 2+ y with MS-SQL and Microsoft SQL Server Management Studio, and RedGate SQL Toolbelt; JavaScript, CSS, MVVM pattern libraries (Vue.js and React.js); Azure certificates. .NET technologies C#/experience (5+ years);  Experience developing enterprise-wide software solutions (2+ years);  Experience with MS-SQL writing stored procedures and database schema design (2+ years); Microsoft operating systems experience ("
3, .NET Developer (React) - REMOTE ," JJ Keller & Associates, Inc. ",".NET Developer (React) Requisition #:19048 Functional Area: Software Development Employment Type: Full-Time Work Options: Remote / Work from Home in the US #LI-Remote Work Hours: Standard Business Hours  Why work at J. J. Keller? Latest MS tech stack:Our projects use the latest MS tech stack, Microservices, CI/CD, Automated Testing, Cloud Architecture and Predictive Analytics/AI/ML.Emerging technologies:We strive to keep current with emerging technologies to prevent platforms from slipping into "
4, .NET SOLUTIONS ARCHITECT || REMOTE || 10+ YEARS REQUIRED , Pro Integrate ,"ROLE: .NET SOLUTIONS ARCHITECT - EXPERIENCE USING SALSIFY IS MANDATORY. LOCATION: CHICAGO, IL - REMOTE DURATION: LONG TERM EXPERIENCE: 10+ YEARS REQUIRED MODE OF HIRE: C2C & FULLTIME  Job Description: Required/Primary: Overall 12+ years of experience and a minimum of 5 years of experience as a solution architect.Architectural leadership experience with microservices and distributed applications, such as containers, Kubernetes, and/or serverless technology.Strong knowledge of software architecturROLE: .NET SOLUTIONS ARCHITECT - EXPERIENCE USING SALSIFY IS MANDATORY. LOCATION: CHICAGO, IL - REMOTE DURATION: LONG TERM EXPERIENCE: 10+ YEARS REQUIRED MODE OF HIRE: C2C & FULLTIME  Job Description: Required/Primary: Overall 12+ years of experience and a minimum of 5 years of experience as a solution architect.Architectural leadership experience with microservices and distributed applications, such as containers, Kubernetes, and/or serverless technology.Strong knowledge of software architecturROLE: .NET SOLUTIONS ARCHITECT - EXPERIENCE USING SALSIFY IS MANDATORY. LOCATION: CHICAGO, IL - REMOTE DURATION: LONG TERM EXPERIENCE: 10+ YEARS REQUIRED MODE OF HIRE: C2C & FULLTIME  Job Description: Required/Primary: Overall 12+ years of experience and a minimum of 5 years of experience as a solution architect.Architectural leadership experience with microservices and distributed applications, such as containers, Kubernetes, and/or serverless technology.Strong knowledge of software architecturROLE: .NET SOLUTIONS ARCHITECT - EXPERIENCE USING SALSIFY IS MANDATORY. LOCATION: CHICAGO, IL - REMOTE DURATION: LONG TERM EXPERIENCE: 10+ YEARS REQUIRED MODE OF HIRE: C2C & FULLTIME  Job Description: Required/Primary: Overall 12+ years of experience and a minimum of 5 years of experience as a solution architect.Architectural leadership experience with microservices and distributed applications, such as containers, Kubernetes, and/or serverless technology.Strong knowledge of software architectur"
5, .Net Developer - Contract - W2 (No C2C) - Remote , iTech Solutions ,".Net DeveloperPreference to a local candidate who can work a hybrid schedule in Franklin, TN, but open to 100% remote. M-F 8-5 CST.Duties: Participate in medium to large scale projects by reviewing project requirements. Translating requirements into solutions, write code, unit tests, ensure code coverage, communicate status and issues across team while collaborating with product, project and cross-functional teams. Ensuring on-time delivery. Troubleshooting complex problems, identifying code def"
6, .Net Solutions Architect with Salsify , Pro Integrate ,"Required/Primary: Overall 12+ years of experience and a minimum of 5 years of experience as a solution architect.Architectural leadership experience with microservices and distributed applications, such as containers, Kubernetes, and/or serverless technology.Strong knowledge of software architecture patterns, design principles, and best practices.Proficiency in system and application design methodologies and tools.Familiarity with a variety of programming languages, databases, frameworks, and teRequired/Primary: Overall 12+ years of experience and a minimum of 5 years of experience as a solution architect.Architectural leadership experience with microservices and distributed applications, such as containers, Kubernetes, and/or serverless technology.Strong knowledge of software architecture patterns, design principles, and best practices.Proficiency in system and application design methodologies and tools.Familiarity with a variety of programming languages, databases, frameworks, and teRequired/Primary: Overall 12+ years of experience and a minimum of 5 years of experience as a solution architect.Architectural leadership experience with microservices and distributed applications, such as containers, Kubernetes, and/or serverless technology.Strong knowledge of software architecture patterns, design principles, and best practices.Proficiency in system and application design methodologies and tools.Familiarity with a variety of programming languages, databases, frameworks, and teRequired/Primary: Overall 12+ years of experience and a minimum of 5 years of experience as a solution architect.Architectural leadership experience with microservices and distributed applications, such as containers, Kubernetes, and/or serverless technology.Strong knowledge of software architecture patterns, design principles, and best practices.Proficiency in system and application design methodologies and tools.Familiarity with a variety of programming languages, databases, frameworks, and te"
7, 10+ years only - Salesforce Business Systems Analysis - Contract - 100% Remote , Accion Labs ,"Job Title: Sr. Business Systems Analysis 12+Months Contract Location: Nationwide/Remote  Job Description: Job Summary As a Senior Salesforce Business Systems Analyst (BSA), you will be a key player in building partnerships with our B2B teams and collaborating across the organization within an Agile team framework. Your primary responsibility is to ensure effective communication, maintaining alignment, and delivering optimal product solutions. Operating within an influential team environment, youJob Title: Sr. Business Systems Analysis 12+Months Contract Location: Nationwide/Remote  Job Description: Job Summary As a Senior Salesforce Business Systems Analyst (BSA), you will be a key player in building partnerships with our B2B teams and collaborating across the organization within an Agile team framework. Your primary responsibility is to ensure effective communication, maintaining alignment, and delivering optimal product solutions. Operating within an influential team environment, youJob Title: Sr. Business Systems Analysis 12+Months Contract Location: Nationwide/Remote  Job Description: Job Summary As a Senior Salesforce Business Systems Analyst (BSA), you will be a key player in building partnerships with our B2B teams and collaborating across the organization within an Agile team framework. Your primary responsibility is to ensure effective communication, maintaining alignment, and delivering optimal product solutions. Operating within an influential team environment, youJob Title: Sr. Business Systems Analysis 12+Months Contract Location: Nationwide/Remote  Job Description: Job Summary As a Senior Salesforce Business Systems Analyst (BSA), you will be a key player in building partnerships with our B2B teams and collaborating across the organization within an Agile team framework. Your primary responsibility is to ensure effective communication, maintaining alignment, and delivering optimal product solutions. Operating within an influential team environment, you"
8, 100% Remote Facets Developer , DMS Vision Inc. ,"Hi, Hope you are doing well. Please find the job description given below and let me know your interest. Position:100% Remote Facets Developer Location:100% Remote Duration: 3Months  Job Description: Focus on customer and desired business outcomes in the design and build of solutionsWrite, debug and test code to create working solutionsUnderstand and apply unique programming/scripting languages specific to software engineeringConsider security, scalability, reliability & feasibility in solution d"
9, 100% Remote Machine Learning and AI with NLP Exp , Talent Group ,"100% Remote Machine Learning and AI with NLP Exp NOTE: NLP exp is must Required qualifications Proven record of high value analytic work or solution buildingdegree or above preferred in Computer Science, Systems Engineering, Applied Mathematics/Statistics, Operations Research, or other physical science/engineering fieldsStrong programming skills tools like Python, react and Databases.5 + High expertise on cloud services  Azure tech stack, Open AI and Cog Search5+ years preferred of overall exper100% Remote Machine Learning and AI with NLP Exp NOTE: NLP exp is must Required qualifications Proven record of high value analytic work or solution buildingdegree or above preferred in Computer Science, Systems Engineering, Applied Mathematics/Statistics, Operations Research, or other physical science/engineering fieldsStrong programming skills tools like Python, react and Databases.5 + High expertise on cloud services  Azure tech stack, Open AI and Cog Search5+ years preferred of overall exper100% Remote Machine Learning and AI with NLP Exp NOTE: NLP exp is must Required qualifications Proven record of high value analytic work or solution buildingdegree or above preferred in Computer Science, Systems Engineering, Applied Mathematics/Statistics, Operations Research, or other physical science/engineering fieldsStrong programming skills tools like Python, react and Databases.5 + High expertise on cloud services  Azure tech stack, Open AI and Cog Search5+ years preferred of overall exper"
